,Valor,Tipo,Endereco,Iptu,Condominio,m2,quartos,vagas
0,175000,Casa, Milionários ,0,0,120,3,0
1,250000,Casa, Jardim Felicidade ,0,0,150,3,3
2,700000,Apartamento, Santo Antônio ,0,577,150,3,2
3,280000,Casa, Milionários ,0,83,180,2,3
4,255000,Casa em condomínio, Miramar (barreiro) ,0,100,120,2,1
5,180000,Apartamento, Manacás ,0,35,73,3,1
6,740000,Apartamento, Jardim América ,0,550,144,3,1
7,250000,Casa, Miramar (barreiro) ,0,0,120,2,1
8,515000,Apartamento, Prado ,0,436,123,3,2
9,280000,Apartamento, João Pinheiro ,0,290,93,3,1
10,769000,Apartamento, Itapoã ,0,630,100,3,2
11,240000,Casa, Sagrada Família ,0,42,90,3,0
12,740000,Apartamento, Buritis ,0,1115,100,3,2
13,235000,Apartamento, Horto Florestal ,0,100,50,1,1
14,1090000,Apartamento, Cruzeiro ,0,400300,191,4,2
15,630000,Apartamento, Castelo ,0,617,125,2,2
16,1100000,Apartamento, Santo Antônio ,0,814,156,3,3
17,920000,Apartamento, Lourdes ,0,1100,82,2,2
18,910000,Apartamento, Santa Rosa ,0,496,151,4,3
19,360000,Apartamento, Santa Terezinha ,0,250,75,2,1
20,220000,Casa, Havaí ,0,220000,250,4,2
21,150000,Casa, Paraíso ,0,0,95,1,1
22,245000,Apartamento, Centro ,0,0,92,2,0
23,260000,Apartamento, Serrano ,0,327,47,2,1
24,350000,Apartamento, Gutierrez ,0,510,85,3,1
25,530000,Apartamento, Sion ,0,1335,72,2,2
26,365000,Apartamento, Cidade Nova ,0,579,48,2,1
27,180000,Apartamento, Heliópolis ,0,169,60,2,1
28,250000,Apartamento, Santa Terezinha ,0,345,75,3,2
29,300000,Casa, São Gabriel ,0,145,236,3,2
30,270000,Apartamento, Padre Eustáquio ,0,450,76,3,1
31,750000,Apartamento, Buritis ,0,1500,105,3,2
32,280000,Apartamento, Santa Efigênia ,0,350,60,2,1
33,600000,Apartamento, Santo Antônio ,0,612,90,3,1
34,355000,Apartamento, Alto Barroca ,0,300,86,3,1
35,320000,Apartamento, Buritis ,0,258,59,2,1
36,320000,Apartamento, Buritis ,0,258,59,2,1
37,1350000,Apartamento, Carmo ,0,1404,105,2,2
38,260000,Apartamento, Estoril ,0,253,65,3,1
39,740000,Apartamento, Coracao de Jesus ,0,1717,106,3,1
40,300000,Apartamento, Silveira ,0,625,80,4,1
41,370000,Apartamento, Nova Suíça ,0,455,75,3,1
42,198000,Apartamento, Nova Gameleira ,0,251,60,2,1
43,290000,Apartamento, Graça ,0,344,68,2,1
44,250000,Apartamento, Santa Cruz ,0,490,75,3,1
45,420000,Apartamento, Santa Ines ,0,545,67,3,1
46,160000,Casa, Zilah Sposito ,0,0,2000,3,1
47,600000,Apartamento, Santo Antônio ,0,1101,110,3,2
48,285000,Apartamento, Estrela do Oriente ,0,275,70,2,1
49,320000,Apartamento, Nova Suíça ,0,507,112,3,1
50,360000,Casa, Havaí ,0,117,90,3,1
51,200000,Apartamento, Camargos ,0,200,52,2,1
52,490000,Apartamento, Fernão Dias ,0,334,122,2,2
53,180000,Apartamento, Nova Cachoeirinha ,0,205,56,2,1
54,400000,Apartamento, Graça ,0,550,68,3,2
55,190000,Apartamento, São Gabriel ,0,340,44,2,1
56,660000,Apartamento, Colégio Batista ,0,559,89,3,2
57,390000,Apartamento, Luxemburgo ,0,672,50,1,2
58,155000,Apartamento, Dom Silverio ,0,190,49,2,1
59,480000,Apartamento, Renascença ,0,291,200,3,1
60,425000,Apartamento, Concórdia ,0,451,74,3,1
61,170000,Apartamento, São Tomaz ,0,123,60,2,2
62,380000,Apartamento, Alto Caiçaras ,0,375,140,2,2
63,670000,Apartamento, Silveira ,0,1148,219,4,3
64,339000,Studio e kitnet, Lourdes ,0,1317,27,1,1
65,200000,Apartamento, Jd Vitoria ,0,200,60,2,0
66,649000,Apartamento, Buritis ,0,720,137,4,2
67,350000,Apartamento, Carlos Prates ,0,525,97,3,1
68,450000,Apartamento, Jardim America ,0,358,150,3,1
69,400000,Apartamento, Renascença ,0,292,90,3,2
70,310000,Apartamento, Cachoeirinha ,0,595,111,3,1
71,370000,Apartamento, Lourdes ,0,1500,72,1,1
72,290000,Apartamento, Alto Barroca ,0,340,80,2,1
73,285000,Apartamento, Padre Eustáquio ,0,355,60,3,1
74,375000,Apartamento, Cinquentenario ,0,620,75,3,1
75,850000,Apartamento, Santa Tereza ,0,425,169,3,2
76,690000,Apartamento, Sagrada Família ,0,467,180,3,2
77,210000,Apartamento, São Gabriel ,0,160,75,3,1
78,260000,Apartamento, Prado ,0,332,70,3,1
79,310000,Casa, Jaqueline ,0,116,114,2,1
80,490000,Apartamento, Santo Antônio ,0,735,120,3,3
81,460000,Apartamento, Santo Antônio ,0,1224,84,2,1
82,259000,Casa, Santa Terezinha ,0,200,60,2,1
83,380000,Apartamento, Carlos Prates ,0,342,100,3,1
84,970000,Apartamento, Santa Efigênia ,0,1538,96,3,2
85,260000,Apartamento, Santa Inês ,0,145,55,2,1
86,340000,Apartamento, Cidade Nova ,0,468,60,3,1
87,250000,Apartamento, Madre Gertrudes ,0,360,95,3,1
88,310000,Apartamento, Manacás ,0,770,56,2,1
89,1360000,Apartamento, Funcionários ,0,691,85,3,3
90,590000,Apartamento, Cidade Nova ,0,510,180,4,2
91,490000,Apartamento, Buritis ,0,688,66,2,2
92,320000,Apartamento, Sagrada Família ,0,416,68,3,1
93,495000,Apartamento, Serra ,0,790,130,4,2
94,530000,Apartamento, Grajaú ,0,454,90,3,1
95,585000,Apartamento, Luxemburgo ,0,787,156,3,1
96,320000,Apartamento, Centro ,0,1047,100,3,0
97,260000,Apartamento, Serrano ,0,494,57,2,1
98,295000,Apartamento, Santa Maria ,0,461,52,2,1
99,500000,Apartamento, Santa Tereza ,0,250,120,3,1
100,1200000,Apartamento, Sion ,0,1475,107,3,2
101,255000,Apartamento, Santa Terezinha ,0,367,72,3,2
102,750000,Apartamento, Funcionários ,0,841,90,3,0
103,350000,Apartamento, Funcionários ,0,459,86,2,0
104,375000,Apartamento, Nova Suíça ,0,303,70,3,2
105,425000,Apartamento, Serra ,0,915,103,3,1
106,690000,Apartamento, Prado ,0,553,78,3,2
107,380000,Apartamento, Santo Antônio ,0,550,100,3,1
108,350000,Apartamento, Nova Floresta ,0,668,70,2,1
109,1990000,Apartamento, Belvedere ,0,1349,170,2,2
110,450000,Apartamento, Santo Antônio ,0,579,95,3,2
111,450000,Apartamento, Castelo ,0,401,123,2,1
112,692000,Casa, Diamante ,0,122,180,2,4
113,390000,Casa, Santo André ,0,117,180,3,3
114,729000,Apartamento, Coracao de Jesus ,0,827,70,2,1
115,330000,Apartamento, Padre Eustáquio ,0,748,73,3,1
116,150000,Casa, São Tomáz ,0,0,120,2,0
117,450000,Apartamento, Santo Agostinho ,0,1015,40,1,1
118,400000,Casa, Bernardo Monteiro ,0,60,200,3,3
119,1099000,Apartamento, Gutierrez ,0,1020,125,4,2
120,400000,Casa, Bernardo Monteiro ,0,60,200,3,3
121,380000,Apartamento, Castelo ,0,395,80,2,1
122,1099000,Apartamento, Gutierrez ,0,1020,125,4,2
123,255000,Apartamento, Nova Gameleira ,0,233,109,2,1
124,250000,Apartamento, Havaí ,0,0,75,3,1
125,580000,Apartamento, Santo Antônio ,0,944,80,3,1
126,750000,Apartamento, Dona Clara ,0,600,90,3,2
127,797000,Apartamento, São Pedro ,0,1157,78,2,3
128,650000,Apartamento, Sion ,0,1150,170,3,1
129,320000,Casa, Ipiranga ,0,0,140,3,0
130,650000,Apartamento, Sion ,0,833,67,2,2
131,330000,Apartamento, Estoril ,0,647,75,2,2
132,480000,Apartamento, São Pedro ,0,851,69,2,1
133,1250000,Apartamento, Buritis ,0,1351000,150,4,4
134,160000,Apartamento, Lagoinha ,0,255,50,1,1
135,250000,Apartamento, Sagrada Família ,0,422,50,2,1
136,550000,Apartamento, São Lucas ,0,363,166,3,1
137,370000,Apartamento, Grajaú ,0,383,115,3,1
138,650000,Apartamento, Serra ,0,471,190,4,1
139,299000,Apartamento, Serra ,0,342,85,3,1
140,170000,Casa, Mantiqueira ,0,15,90,2,1
141,290000,Apartamento, Carlos Prates ,0,567,70,3,1
142,200000,Apartamento, Santa Terezinha ,0,350,65,2,2
143,1280000,Apartamento, Serra ,0,1300,146,4,2
144,350000,Apartamento, Jardim America ,0,444,111,3,1
145,400000,Casa, Santa Terezinha ,0,84,150,2,2
146,695000,Apartamento, Colégio Batista ,0,849,90,3,2
147,490000,Apartamento, Sagrada Família ,0,550,136,4,1
148,330000,Apartamento, Dom Joaquim ,0,550,55,2,1
149,760000,Apartamento, Gutierrez ,0,908,95,3,2
150,215000,Apartamento, Califórnia ,0,360,58,3,1
151,380000,Apartamento, São Lucas ,0,515,100,3,1
152,380000,Apartamento, Santo Antônio ,0,482,85,2,1
153,650000,Apartamento, Santa Efigênia ,0,1417,81,2,1
154,380000,Apartamento, São Francisco ,0,615,76,3,2
155,300000,Casa, Solar do Barreiro (barreiro ,0,0,180,4,1
156,380000,Apartamento, Santo Antônio ,0,482,85,2,1
157,650000,Apartamento, Santa Efigênia ,0,1417,81,2,1
158,380000,Apartamento, São Francisco ,0,615,76,3,2
159,300000,Casa, Solar do Barreiro (barreiro ,0,0,180,4,1
160,450000,Apartamento, Nova Suíça ,0,650,115,3,1
161,480000,Casa, Santa Branca ,0,78,110,2,2
162,325000,Apartamento, Jardim America ,0,338,71,3,1
163,318000,Apartamento, Cidade Nova ,0,507,75,2,1
164,290000,Apartamento, Dom Cabral ,0,510,60,3,1
165,300000,Apartamento, Nova Suíça ,0,301,89,3,1
166,440000,Apartamento, Santo Antônio ,0,730,105,3,1
167,249000,Apartamento, Camargos ,0,479,52,2,1
168,200000,Apartamento, Califórnia ,0,427,70,3,1
169,550000,Apartamento, Sagrada Família ,0,525,98,3,2
170,399000,Apartamento, Coração Eucarístico ,0,642,100,3,1
171,380000,Apartamento, Palmeiras ,0,509,47,2,1
172,790000,Apartamento, Nova Suíça ,0,797,200,4,2
173,270000,Apartamento, Camargos ,0,525,47,2,1
174,550000,Apartamento, Estoril ,0,577,140,3,3
175,550000,Apartamento, Padre Eustáquio ,0,500,140,3,2
176,290000,Apartamento, Manacás ,0,73,75,3,1
177,320000,Apartamento, Cinquentenario ,0,435,74,2,1
178,350000,Apartamento, Nova Suíça ,0,390,72,2,1
179,435000,Apartamento, Alto Caiçaras ,0,435200,85,3,1
180,500000,Apartamento, União ,0,250,49,2,1
181,398000,Apartamento, Cidade Nova ,0,510,70,2,1
182,280000,Apartamento, Fernão Dias ,0,387,52,2,1
183,280000,Apartamento, Monsenhor Messias ,0,396,72,3,1
184,295000,Casa em condomínio, Copacabana ,0,0,75,3,1
185,490000,Apartamento, Luxemburgo ,0,588,111,3,1
186,250000,Apartamento, Serrano ,0,180,60,2,1
187,298000,Apartamento, Nova Suíça ,0,350,80,3,1
188,850000,Apartamento, Luxemburgo ,0,815,69,2,2
189,350000,Apartamento, Sagrada Família ,0,444,88,2,1
190,820000,Casa, Nova Vista ,0,142,160,4,5
191,295000,Apartamento, Ipiranga ,0,389,85,3,1
192,820000,Casa, Nova Vista ,0,142,160,4,5
193,295000,Apartamento, Ipiranga ,0,389,85,3,1
194,530000,Casa, Santa Maria ,0,0,360,3,4
195,455000,Apartamento, Jardim America ,0,400,140,3,1
196,485000,Casa, São Cristóvão ,0,79,170,4,2
197,650000,Apartamento, Santo Antônio ,0,870,120,2,1
198,275000,Apartamento, Serra ,0,350,60,2,0
199,500000,Casa, São Francisco ,0,350,500,2,3
200,570000,Apartamento, Gutierrez ,0,644,102,3,1
201,320000,Apartamento, Centro ,0,597,70,2,0
202,830000,Apartamento, Buritis ,0,1010,97,3,2
203,399900,Apartamento, Cidade Nova ,0,590,100,3,1
204,300000,Casa, Paquetá ,0,100,64,2,1
205,495000,Apartamento, Dona Clara ,0,587,136,3,2
206,495000,Apartamento, Sagrada Família ,0,508,70,2,2
207,293000,Apartamento, Havaí ,0,497,84,3,1
208,550000,Apartamento, Serra ,0,978,120,3,2
209,398000,Apartamento, Cruzeiro ,0,617,90,3,1
210,550000,Apartamento, Buritis ,0,550,55,2,2
211,750000,Apartamento, São Lucas ,0,850,75,3,2
212,355000,Apartamento, Dom Bosco ,0,0,110,2,2
213,450000,Apartamento, Liberdade ,0,403,120,3,1
214,742000,Apartamento, Santo Antônio ,0,658,65,2,2
215,260000,Apartamento, Monsenhor Messias ,0,325,45,2,1
216,260000,Apartamento, Monsenhor Messias ,0,325,45,2,1
217,270000,Apartamento, Milionários ,0,240,75,2,1
218,550000,Apartamento, Santa Efigênia ,0,501,95,3,1
219,1350000,Apartamento, Alto Caiçaras ,0,1641,150,4,3
220,350000,Casa, Piratininga (venda Nova) ,0,0,280,4,2
221,540000,Apartamento, Fernão Dias ,0,300,78,3,2
222,550000,Apartamento, Dona Clara ,0,300,140,3,1
223,480000,Apartamento, Buritis ,0,752,70,3,2
224,495000,Apartamento, Santo Antônio ,0,565,80,2,1
225,395000,Apartamento, Santo Antônio ,0,420,120,3,1
226,360000,Apartamento, Camargos ,0,675,90,3,1
227,350000,Apartamento, Floresta ,0,390,68,3,1
228,925000,Apartamento, Buritis ,0,1384,110,4,2
229,610000,Apartamento, Santa Efigênia ,0,636,75,2,2
230,530000,Apartamento, Grajaú ,0,680,79,3,2
231,360000,Apartamento, Centro ,0,560,114,3,0
232,355000,Apartamento, Floresta ,0,347,60,1,1
233,220000,Casa, Havaí ,0,0,180,3,0
234,460000,Apartamento, Nova Suíssa ,0,444,95,3,1
235,710000,Apartamento, Santo Antônio ,0,608,60,2,2
236,720000,Apartamento, Serra ,0,1513,100,3,2
237,390000,Apartamento, Castelo ,0,595,55,2,2
238,550000,Apartamento, Santo Antônio ,0,705,125,3,1
239,270000,Apartamento, Monsenhor Messias ,0,217,80,2,1
240,360000,Apartamento, Serra ,0,475,70,2,1
241,650000,Apartamento, Fernão Dias ,0,785,120,3,2
242,1211000,Apartamento, Funcionários ,0,750,77,2,2
243,345000,Apartamento, Palmeiras ,0,328,102,1,1
244,490000,Apartamento, Jardim America ,0,701,123,2,2
245,420000,Apartamento, Serrano ,0,588,58,2,1
246,650000,Apartamento, Sagrada Família ,0,524,75,3,2
247,360000,Apartamento, Sagrada Família ,0,264,70,3,1
248,1600000,Apartamento, Sion ,0,1190,128,3,2
249,300000,Apartamento, Sagrada Família ,0,250,55,2,1
250,426000,Casa, Santa Ines ,0,34,72,2,1
251,600000,Apartamento, Buritis ,0,490,130,3,2
252,320000,Apartamento, Silveira ,0,410,67,3,1
253,940000,Apartamento, Centro ,0,1732,132,3,2
254,590000,Apartamento, Coração Eucarístico ,0,300,100,3,1
255,399000,Apartamento, Carlos Prates ,0,733,80,3,1
256,530000,Apartamento, Castelo ,0,498,76,2,2
257,235000,Apartamento, Madre Gertrudes ,0,364,88,2,1
258,690000,Apartamento, Sagrada Família ,0,982,180,4,3
259,280000,Apartamento, Camargos ,0,444,49,2,1
260,750000,Apartamento, Buritis ,0,939,85,3,2
261,580000,Apartamento, Santa Inês ,0,520,82,3,2
262,425000,Apartamento, Vila Paris ,0,559,110,3,1
263,260000,Apartamento, Guarani ,0,0,63,3,1
264,650000,Apartamento, Grajaú ,0,836,110,3,2
265,450000,Casa, Céu Azul ,0,100,360,3,2
266,545000,Apartamento, União ,0,624,87,3,2
267,550000,Apartamento, Silveira ,0,560,95,3,2
268,670000,Apartamento, Cidade Nova ,0,560,80,3,2
269,265000,Apartamento, Guarani ,0,480,62,3,1
270,700000,Apartamento, Buritis ,0,300,260,4,3
271,530000,Apartamento, União ,0,1049,67,2,2
272,400000,Apartamento, Jardim America ,0,518,106,3,1
273,580000,Casa, Esplanada ,0,117,187,4,2
274,595000,Apartamento, Sion ,0,690,43,1,1
275,240000,Apartamento, Califórnia ,0,340,70,2,1
276,290000,Apartamento, Aarão Reis ,0,274,62,3,2
277,722000,Apartamento, Serra ,0,972,120,3,2
278,230000,Apartamento, Coqueiros ,0,100,55,3,1
279,250000,Apartamento, Madre Gertrudes ,0,265,75,2,1
280,290000,Apartamento, Lagoinha ,0,269,120,2,1
281,520000,Apartamento, Santa Terezinha ,0,259,190,3,1
282,320000,Apartamento, São Lucas ,0,385,100,3,1
283,520000,Apartamento, Santo Antônio ,0,760,75,3,1
284,670000,Apartamento, Buritis ,0,1045,85,3,2
285,330000,Apartamento, Ipiranga ,0,448,67,2,1
286,240000,Apartamento, Milionários ,0,255,70,3,1
287,720000,Apartamento, Anchieta ,0,881,105,3,1
288,720000,Apartamento, Anchieta ,0,881,105,3,1
289,205000,Apartamento, Olhos D’água ,0,270,72,2,1
290,240000,Apartamento, Santa Maria ,0,386,51,2,1
291,550000,Apartamento, Silveira ,0,811,90,3,2
292,460000,Apartamento, Santa Terezinha ,0,328,100,3,1
293,245000,Apartamento, Candelária ,0,525,55,2,1
294,629000,Apartamento, Castelo ,0,679,76,3,2
295,695000,Apartamento, Graça ,0,310,92,3,2
296,420000,Apartamento, Camargos ,0,512,96,3,1
297,530000,Apartamento, União ,0,1048,68,2,2
298,650000,Casa, União ,0,211,300,3,7
299,390000,Apartamento, Alto Barroca ,0,563,95,3,1
300,365000,Apartamento, Boa Vista ,0,369,106,3,1
301,500000,Apartamento, Santa Tereza ,0,0,95,3,1
302,536000,Casa, Bonfim ,0,318,360,3,1
303,510000,Apartamento, Santo Agostinho ,0,800,110,3,1
304,695000,Apartamento, Ouro Preto ,0,400,92,3,2
305,235000,Casa, Vila Nova Gameleira Ii ,0,0,90,2,0
306,250000,Studio e kitnet, Havaí ,0,0,60,1,1
307,480000,Apartamento, Cidade Nova ,0,537,110,3,1
308,350000,Apartamento, Nova Gameleira ,0,692,110,3,1
309,579000,Apartamento, Floresta ,0,431,120,3,1
310,220000,Apartamento, Califórnia ,0,286,54,3,1
311,460000,Apartamento, Sagrada Família ,0,651,80,3,1
312,480000,Apartamento, Palmares ,0,525,134,3,2
313,315000,Casa, São Gabriel ,0,35,180,2,1
314,550000,Apartamento, Buritis ,0,700,90,3,2
315,290000,Apartamento, Nova Granada ,0,250,72,3,1
316,255000,Apartamento, Santa Branca ,0,481,55,2,1
317,875000,Apartamento, Centro ,0,822,135,3,1
318,500000,Apartamento, Cidade Nova ,0,665,95,3,3
319,380000,Casa, Maria Goretti ,0,59,96,2,1
320,770000,Apartamento, Sagrada Família ,0,930,90,3,3
321,315000,Apartamento, Esplanada ,0,503,55,1,1
